text{ key = "copyright_menu.made_by_fans.line1", value = "This game was created by fans," }
text{ key = "copyright_menu.made_by_fans.line2", value = "is non commercial and" }
text{ key = "copyright_menu.made_by_fans.line3", value = "is not related to Nintendo." }
text{ key = "copyright_menu.solarus_license.line1", value = "Solarus is Free Software" }
text{ key = "copyright_menu.solarus_license.line2", value = "licensed under GPL v3." }
text{ key = "copyright_menu.tloz_trademark.line1", value = "The Legend of Zelda is" }
text{ key = "copyright_menu.tloz_trademark.line2", value = "a trademark from Nintendo." }
text{ key = "dungeon_10001.name", value = "Water Temple" }
text{ key = "dungeon_10002.name", value = "Ancient Catacomb" }
text{ key = "dungeon_10004.name", value = "Fire Temple" }
text{ key = "dungeon_1001.name", value = "Eagle Ruins" }
text{ key = "dungeon_10011.name", value = "Temple of Courage" }
text{ key = "dungeon_10014.name", value = "Temple of Power" }
text{ key = "dungeon_10015.name", value = "Temple of Wisdom" }
text{ key = "dungeon_10017.name", value = "Hyrule Castle" }
text{ key = "dungeon_10021.name", value = "Eagle Ruins" }
text{ key = "dungeon_10022.name", value = "Parapa Palace" }
text{ key = "dungeon_10023.name", value = "Moon Ruins" }
text{ key = "dungeon_4.name", value = "Kokiri Garden" }
text{ key = "dungeon_999.name", value = "Final Dungeon" }
text{ key = "inventory.item_caption.equipment/flippers.1", value = "Flippers" }
text{ key = "inventory.item_caption.equipment/gems_detector.1", value = "Gems Detector" }
text{ key = "inventory.item_caption.equipment/glove.1", value = "Power Bracelet" }
text{ key = "inventory.item_caption.equipment/glove.2", value = "Power Glove" }
text{ key = "inventory.item_caption.equipment/glove.3", value = "Titans Mitts" }
text{ key = "inventory.item_caption.equipment/sword_PLAYER.1", value = "Cheater's Sword" }
text{ key = "inventory.item_caption.equipment/swordsman_scroll.1", value = "Swordsman Scroll" }
text{ key = "inventory.item_caption.inventory/bombs_counter.1", value = "Bombs" }
text{ key = "inventory.item_caption.inventory/boomerang.1", value = "Boomerang" }
text{ key = "inventory.item_caption.inventory/boomerang.2", value = "Super Boomerang" }
text{ key = "inventory.item_caption.inventory/bottle_1.1", value = "Bottle" }
text{ key = "inventory.item_caption.inventory/bottle_1.2", value = "Water Bottle" }
text{ key = "inventory.item_caption.inventory/bottle_1.3", value = "Red Potion" }
text{ key = "inventory.item_caption.inventory/bottle_1.4", value = "Green Potion" }
text{ key = "inventory.item_caption.inventory/bottle_1.5", value = "Blue Potion" }
text{ key = "inventory.item_caption.inventory/bottle_1.6", value = "Fairy" }
text{ key = "inventory.item_caption.inventory/bottle_1.7", value = "Milk" }
text{ key = "inventory.item_caption.inventory/bottle_1.8", value = "Château Romani" }
text{ key = "inventory.item_caption.inventory/bottle_2.1", value = "Bottle" }
text{ key = "inventory.item_caption.inventory/bottle_2.2", value = "Water Bottle" }
text{ key = "inventory.item_caption.inventory/bottle_2.3", value = "Red Potion" }
text{ key = "inventory.item_caption.inventory/bottle_2.4", value = "Green Potion" }
text{ key = "inventory.item_caption.inventory/bottle_2.5", value = "Blue Potion" }
text{ key = "inventory.item_caption.inventory/bottle_2.6", value = "Fairy" }
text{ key = "inventory.item_caption.inventory/bottle_2.7", value = "Milk" }
text{ key = "inventory.item_caption.inventory/bottle_2.8", value = "Château Romani" }
text{ key = "inventory.item_caption.inventory/bottle_3.1", value = "Bottle" }
text{ key = "inventory.item_caption.inventory/bottle_3.2", value = "Water Bottle" }
text{ key = "inventory.item_caption.inventory/bottle_3.3", value = "Red Potion" }
text{ key = "inventory.item_caption.inventory/bottle_3.4", value = "Green Potion" }
text{ key = "inventory.item_caption.inventory/bottle_3.5", value = "Blue Potion" }
text{ key = "inventory.item_caption.inventory/bottle_3.6", value = "Fairy" }
text{ key = "inventory.item_caption.inventory/bottle_3.7", value = "Milk" }
text{ key = "inventory.item_caption.inventory/bottle_3.8", value = "Château Romani" }
text{ key = "inventory.item_caption.inventory/bottle_4.1", value = "Bottle" }
text{ key = "inventory.item_caption.inventory/bottle_4.2", value = "Water Bottle" }
text{ key = "inventory.item_caption.inventory/bottle_4.3", value = "Red Potion" }
text{ key = "inventory.item_caption.inventory/bottle_4.4", value = "Green Potion" }
text{ key = "inventory.item_caption.inventory/bottle_4.5", value = "Blue Potion" }
text{ key = "inventory.item_caption.inventory/bottle_4.6", value = "Fairy" }
text{ key = "inventory.item_caption.inventory/bottle_4.7", value = "Milk" }
text{ key = "inventory.item_caption.inventory/bottle_4.8", value = "Château Romani" }
text{ key = "inventory.item_caption.inventory/bow.1", value = "Bow and arrows" }
