properties{
  x = 0,
  y = 0,
  width = 1600,
  height = 960,
  min_layer = -5,
  max_layer = 9,
  world = "dungeon_10020",
  floor = 3,
  tileset = "inside_green_dungeon",
  music = "dungeons/final_dungeon",
}

tile{
  layer = 1,
  x = 16,
  y = 920,
  width = 24,
  height = 24,
  pattern = "wall.corner.3-5",
}

tile{
  layer = 1,
  x = 16,
  y = 760,
  width = 24,
  height = 160,
  pattern = "wall.3-5",
}

tile{
  layer = 1,
  x = 16,
  y = 736,
  width = 24,
  height = 24,
  pattern = "wall.corner.1-5",
}

tile{
  layer = 1,
  x = 40,
  y = 920,
  width = 240,
  height = 24,
  pattern = "wall.2-5",
}

tile{
  layer = 1,
  x = 280,
  y = 920,
  width = 24,
  height = 24,
  pattern = "wall.corner.4-5",
}

tile{
  layer = 1,
  x = 40,
  y = 736,
  width = 240,
  height = 24,
  pattern = "wall.1-5",
}

tile{
  layer = 1,
  x = 280,
  y = 760,
  width = 24,
  height = 160,
  pattern = "wall.4-5",
}

tile{
  layer = 1,
  x = 280,
  y = 736,
  width = 24,
  height = 24,
  pattern = "wall.corner.2-5",
}

tile{
  layer = 1,
  x = 48,
  y = 760,
  width = 224,
  height = 8,
  pattern = "wall_border.1-5",
}

tile{
  layer = 1,
  x = 40,
  y = 912,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3-5",
}

tile{
  layer = 1,
  x = 272,
  y = 912,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4-5",
}

tile{
  layer = 1,
  x = 48,
  y = 912,
  width = 224,
  height = 8,
  pattern = "wall_border.2-5",
}

tile{
  layer = 1,
  x = 40,
  y = 768,
  width = 8,
  height = 144,
  pattern = "wall_border.3-5",
}

tile{
  layer = 1,
  x = 40,
  y = 760,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.1-5",
}

tile{
  layer = 1,
  x = 272,
  y = 760,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.2-5",
}

tile{
  layer = 1,
  x = 272,
  y = 768,
  width = 8,
  height = 144,
  pattern = "wall_border.4-5",
}

tile{
  layer = 1,
  x = 48,
  y = 768,
  width = 224,
  height = 144,
  pattern = "floor.12-1",
}

tile{
  layer = 1,
  x = 368,
  y = 880,
  width = 8,
  height = 16,
  pattern = "door.1.support.1-1",
}

tile{
  layer = 1,
  x = 392,
  y = 880,
  width = 8,
  height = 16,
  pattern = "door.1.support.2-1",
}

tile{
  layer = 1,
  x = 376,
  y = 880,
  width = 16,
  height = 16,
  pattern = "door.1",
}

tile{
  layer = 1,
  x = 392,
  y = 816,
  width = 8,
  height = 16,
  pattern = "door.2.support.2-1",
}

tile{
  layer = 1,
  x = 376,
  y = 816,
  width = 16,
  height = 16,
  pattern = "door.2",
}

tile{
  layer = 1,
  x = 368,
  y = 816,
  width = 8,
  height = 16,
  pattern = "door.2.support.1-1",
}

tile{
  layer = 1,
  x = 376,
  y = 832,
  width = 16,
  height = 48,
  pattern = "floor.8-1",
}

tile{
  layer = 1,
  x = 368,
  y = 832,
  width = 8,
  height = 48,
  pattern = "barrier.2-1",
}

tile{
  layer = 1,
  x = 392,
  y = 832,
  width = 8,
  height = 48,
  pattern = "barrier.2-1",
}

tile{
  layer = 1,
  x = 344,
  y = 768,
  width = 16,
  height = 16,
  pattern = "door.4",
}

tile{
  layer = 1,
  x = 408,
  y = 768,
  width = 16,
  height = 16,
  pattern = "door.3",
}

tile{
  layer = 1,
  x = 344,
  y = 760,
  width = 16,
  height = 8,
  pattern = "door.4.support.1-1",
}

tile{
  layer = 1,
  x = 344,
  y = 784,
  width = 16,
  height = 8,
  pattern = "door.4.support.2-1",
}

tile{
  layer = 1,
  x = 408,
  y = 760,
  width = 16,
  height = 8,
  pattern = "door.3.support.1-1",
}

tile{
  layer = 1,
  x = 408,
  y = 784,
  width = 16,
  height = 8,
  pattern = "door.3.support.2-1",
}

tile{
  layer = 1,
  x = 360,
  y = 768,
  width = 48,
  height = 16,
  pattern = "floor.8-1",
}

tile{
  layer = 1,
  x = 360,
  y = 784,
  width = 48,
  height = 8,
  pattern = "barrier.1-1",
}

tile{
  layer = 1,
  x = 360,
  y = 760,
  width = 48,
  height = 8,
  pattern = "barrier.1-1",
}

tile{
  layer = 1,
  x = 768,
  y = 784,
  width = 64,
  height = 112,
  pattern = "floor.12-1",
}

tile{
  layer = 1,
  x = 808,
  y = 904,
  width = 8,
  height = 16,
  pattern = "door.2.support.2-1",
}

tile{
  layer = 1,
  x = 792,
  y = 904,
  width = 16,
  height = 16,
  pattern = "door.2",
}

tile{
  layer = 1,
  x = 784,
  y = 904,
  width = 8,
  height = 16,
  pattern = "door.2.support.1-1",
}

tile{
  layer = 1,
  x = 792,
  y = 920,
  width = 16,
  height = 32,
  pattern = "floor.8-1",
}

tile{
  layer = 1,
  x = 784,
  y = 920,
  width = 8,
  height = 24,
  pattern = "barrier.2-1",
}

tile{
  layer = 1,
  x = 808,
  y = 920,
  width = 8,
  height = 24,
  pattern = "barrier.2-1",
}

tile{
  layer = 1,
  x = 792,
  y = 944,
  width = 16,
  height = 8,
  pattern = "barrier.1-1",
}

tile{
  layer = 1,
  x = 832,
  y = 896,
  width = 16,
  height = 32,
  pattern = "wall_pillar.2-5",
}

tile{
  layer = 1,
  x = 752,
  y = 896,
  width = 16,
  height = 32,
  pattern = "wall_pillar.2-5",
}

tile{
  layer = 1,
  x = 768,
  y = 896,
  width = 64,
  height = 8,
  pattern = "wall_border.2-5",
}

tile{
  layer = 1,
  x = 784,
  y = 760,
  width = 8,
  height = 16,
  pattern = "door.1.support.1-1",
}

tile{
  layer = 1,
  x = 808,
  y = 760,
  width = 8,
  height = 16,
  pattern = "door.1.support.2-1",
}

tile{
  layer = 1,
  x = 792,
  y = 760,
  width = 16,
  height = 16,
  pattern = "door.1",
}

tile{
  layer = 1,
  x = 792,
  y = 728,
  width = 16,
  height = 32,
  pattern = "floor.1-1",
}

tile{
  layer = 1,
  x = 808,
  y = 736,
  width = 8,
  height = 24,
  pattern = "barrier.2-1",
}

tile{
  layer = 1,
  x = 784,
  y = 736,
  width = 8,
  height = 24,
  pattern = "barrier.2-1",
}

